,acc_for_train,acc_for_test,processing_time
0,1.0,0.9838541666666667,543.7568852901459
1,1.0,0.9807291666666667,665.4595093727112
2,0.67375,0.6710208333333333,1270.3596692085266
3,0.7345833333333334,0.7315,1165.7443006038666
4,1.0,0.9610208333333333,704.93332695961
5,0.8043333333333333,0.8047291666666667,1187.8862097263336
6,1.0,0.9722916666666667,673.376987695694
7,1.0,0.9625833333333333,827.3157885074615
8,0.7015,0.7043541666666666,1137.648507118225
9,0.5403333333333333,0.5312916666666667,971.8464167118073
