,acc_for_train,acc_for_test,processing_time
0_1,1.0,0.9978941034897714,13.11018705368042
0_2,1.0,0.9811663991439272,11.202665090560913
0_3,1.0,0.9882960776043863,11.724101543426514
0_4,1.0,0.9940553393860787,11.118074178695679
0_5,1.0,0.9739793629430238,10.496426820755005
0_6,1.0,0.9845377429399764,11.157454013824463
0_7,1.0,0.9941611927849026,11.828023433685303
0_8,1.0,0.9794816414686826,11.203914165496826
0_9,1.0,0.9918612122510173,11.351891040802002
1_2,1.0,0.9817,13.683759927749634
1_3,1.0,0.986783706479929,13.789961099624634
1_4,1.0,0.9932377876463464,13.25672721862793
1_5,1.0,0.9940445094556473,12.121491432189941
1_6,1.0,0.9963884430176565,12.917738676071167
1_7,1.0,0.9920944758930315,14.388418197631836
1_8,1.0,0.9622793746848209,14.44715404510498
1_9,1.0,0.9934954468127689,13.69856333732605
2_3,0.5300799326882625,0.5504625735912532,29.95826768875122
2_4,1.0,0.9698275862068966,11.522253274917603
2_5,1.0,0.9669051878354203,11.352160453796387
2_6,1.0,0.9660635906219891,12.148941040039062
2_7,1.0,0.9760889905395571,12.420943260192871
2_8,1.0,0.9527347114556417,12.32123875617981
2_9,1.0,0.978539397821909,11.945803165435791
3_4,1.0,0.9929928867183353,11.3986177444458
3_5,0.6555066079295154,0.6478749174190707,27.330811977386475
3_6,1.0,0.994831223628692,12.039410591125488
3_7,1.0,0.9761197089269242,12.597609519958496
3_8,0.533955857385399,0.5274771907489921,29.071844339370728
3_9,1.0,0.9727483164983165,12.440931558609009
4_5,1.0,0.9806801491356909,10.282694339752197
4_6,1.0,0.9884299307958477,10.945482969284058
4_7,1.0,0.9764854083560781,12.02672290802002
4_8,1.0,0.9847743338771071,11.192492246627808
4_9,0.5806729939603106,0.5679930982422086,28.282537937164307
5_6,1.0,0.9721723518850988,10.667402029037476
5_7,1.0,0.9904233322450756,11.093201637268066
5_8,0.519873532068654,0.5309324904041545,25.88218116760254
5_9,1.0,0.9688898836168308,10.639035940170288
6_7,1.0,0.9972879941587567,11.679490327835083
6_8,1.0,0.9851987899740708,11.224881887435913
6_9,1.0,0.9953931862009856,11.449735164642334
7_8,1.0,0.9898248190496172,11.96573281288147
7_9,0.5195670274771024,0.5131086142322098,29.98033905029297
8_9,1.0,0.9710129310344827,11.661142587661743
