,acc_for_train,acc_for_test,processing_time
0_1,1.0,0.998771822089657,3.6058459281921387
0_2,1.0,0.9829795193116992,3.1330373287200928
0_3,1.0,0.9903216886348972,3.2549238204956055
0_4,1.0,0.9938615544432902,3.0424468517303467
0_5,1.0,0.9799216454456415,2.8644721508026123
0_6,1.0,0.9869569297175566,3.1326539516448975
0_7,1.0,0.9956244302643573,3.3385121822357178
0_8,1.0,0.9900915353401906,3.087775945663452
0_9,1.0,0.9917641553579785,3.1659622192382812
1_2,1.0,0.9872265966754156,3.694667100906372
1_3,1.0,0.9900742275159675,3.75958251953125
1_4,1.0,0.9951439166519512,3.5710506439208984
1_5,1.0,0.992143966383484,3.3522369861602783
1_6,1.0,0.9966649113568545,3.642362594604492
1_7,1.0,0.9906039121892884,3.797274589538574
1_8,1.0,0.9761778718898888,3.6553380489349365
1_9,1.0,0.9915076168797058,3.645928144454956
2_3,1.0,0.9481665288116901,3.28188157081604
2_4,1.0,0.9787193973634651,3.1476144790649414
2_5,1.0,0.9679750048818591,2.9406590461730957
2_6,1.0,0.9749274955561793,3.186671018600464
2_7,1.0,0.9814562312517043,3.4128332138061523
2_8,1.0,0.9608617932072632,3.157346725463867
2_9,1.0,0.9814313707194178,3.1784541606903076
3_4,1.0,0.989513734224202,3.2466721534729004
3_5,1.0,0.9337308839088199,3.0498769283294678
3_6,1.0,0.9914246196403873,3.2477729320526123
3_7,1.0,0.9827014430402438,3.4954161643981934
3_8,1.0,0.9310089020771514,3.274195909500122
3_9,1.0,0.9751655629139073,3.2922537326812744
4_5,1.0,0.986090559337082,2.8588788509368896
4_6,1.0,0.9846938775510204,3.103569269180298
4_7,1.0,0.9840323024685693,3.3234660625457764
4_8,1.0,0.9872671987837324,3.072110414505005
4_9,1.0,0.94647568790049,3.1632986068725586
5_6,1.0,0.969429747207525,2.8817765712738037
5_7,1.0,0.9891614375356532,3.102436065673828
5_8,1.0,0.9411532774765895,2.897786855697632
5_9,1.0,0.9759601289944297,2.858375310897827
6_7,1.0,0.9968992248062015,3.2983992099761963
6_8,1.0,0.9835740583404134,3.0888757705688477
6_9,1.0,0.9967231532628031,3.145850658416748
7_8,1.0,0.9872535534158643,3.3212873935699463
7_9,1.0,0.9334121713817884,3.3853044509887695
8_9,1.0,0.9720338983050848,3.123883008956909
